*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=CicadaPCB
*Date=00:08:25
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
265;;;52.4637;-60.8192;0;Bottom;Copper Fill81
266;;;72.6888;-29.0608;0;Bottom;Via37
267;;;69.2404;-28.1294;0;Bottom;Copper Fill19
268;;;42.2529;-51.218;0;Bottom;Copper Fill166
269;;;63.0174;-38.4926;0;Bottom;Copper Fill9
270;;;57.5437;-18.6298;0;Bottom;Copper Fill91
271;;;36.5252;-60.8827;0;Bottom;Copper Fill70
272;;;79.3496;-25.6656;0;Bottom;Copper Fill15
273;;;47.9806;-45.9856;0;Bottom;Copper Fill6
274;;;10.3886;-22.9859;0;Bottom;Copper Fill143
275;;;88.1888;-50.9767;0;Bottom;Copper Fill135
276;1k;THT;34.1489;-17.8709;90;Bottom;R2
277;;;30.6324;-81.4059;0;Bottom;Copper Fill121
278;;3 mm [THT];87.489;-49.0817;0;Bottom;G
279;;;42.7228;-51.6879;0;Bottom;Copper Fill167
280;;;48.6664;-58.457;0;Bottom;Copper Fill4
281;;;6.20889;-5.17079;0;Bottom;Hole1
282;;;18.0086;-53.4659;0;Bottom;Copper Fill39
283;;;64.2493;-10.7304;0;Bottom;Copper Fill49
284;;;42.2889;-51.6609;0;Bottom;Via44
285;;;65.789;-28.7608;0;Bottom;Via34
286;;TO220 [THT];45.5789;-4.91688;180;Bottom;IRF540N
287;;THT;9.68889;-41.531;0;Bottom;J3
288;33k;THT;13.4889;-42.041;90;Bottom;R10
289;;;30.2559;-1.71535;0;Bottom;TXT2
290;;;61.4171;-35.4701;0;Bottom;Via23
291;;;65.5574;-12.6862;0;Bottom;Copper Fill104
